epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
136,3948.65,1.3207,1.3106,1.49914,0.25512,0.40961,0.23467,0.09886,2.13237,2.24499,2.03077,0.00013625,0.00013625,0.00013625
137,3977.69,1.30943,1.29275,1.50707,0.25506,0.42365,0.23383,0.09813,2.14476,2.2393,2.05183,0.000128,0.000128,0.000128
138,4006.57,1.2933,1.28492,1.49448,0.26424,0.38552,0.22721,0.09483,2.15445,2.28849,2.05083,0.00011975,0.00011975,0.00011975
139,4035.5,1.28957,1.24745,1.48786,0.25897,0.40148,0.23152,0.09707,2.15341,2.27418,2.05552,0.0001115,0.0001115,0.0001115
140,4064.46,1.28476,1.27464,1.48982,0.24913,0.40382,0.22364,0.09406,2.15497,2.2949,2.04608,0.00010325,0.00010325,0.00010325
141,4094.64,1.46794,1.30969,1.4632,0.24583,0.41347,0.22598,0.09429,2.16583,2.28245,2.07539,9.5e-05,9.5e-05,9.5e-05
142,4123.38,1.44882,1.29407,1.46706,0.25304,0.37995,0.22603,0.09621,2.15101,2.27891,2.06084,8.675e-05,8.675e-05,8.675e-05
143,4152.13,1.4033,1.23532,1.44984,0.2467,0.41077,0.21742,0.0906,2.17202,2.32569,2.08653,7.85e-05,7.85e-05,7.85e-05
144,4180.83,1.4385,1.25086,1.46147,0.24771,0.40683,0.22582,0.09518,2.1766,2.32939,2.09085,7.025e-05,7.025e-05,7.025e-05
145,4209.54,1.42231,1.22821,1.44499,0.25376,0.38967,0.22267,0.09312,2.17823,2.33126,2.09815,6.2e-05,6.2e-05,6.2e-05
146,4238.25,1.42618,1.22446,1.45354,0.24831,0.41186,0.22003,0.09216,2.17898,2.33223,2.09944,5.375e-05,5.375e-05,5.375e-05
147,4267.05,1.42191,1.22299,1.44395,0.24179,0.42173,0.22062,0.09177,2.18766,2.35709,2.10639,4.55e-05,4.55e-05,4.55e-05
148,4295.8,1.41014,1.21145,1.43971,0.2476,0.40709,0.22192,0.09338,2.18185,2.33798,2.10713,3.725e-05,3.725e-05,3.725e-05
149,4324.51,1.41345,1.24575,1.44847,0.25444,0.39563,0.22265,0.09423,2.18634,2.3259,2.11477,2.9e-05,2.9e-05,2.9e-05
150,4353.28,1.40248,1.19827,1.43195,0.25441,0.39055,0.22236,0.0933,2.18687,2.33839,2.10999,2.075e-05,2.075e-05,2.075e-05
